weekday,hour,minute,"number of occurences (if low, it was probably some special schedule)"
0,0,30,1
0,5,30,50
0,6,30,47
0,7,30,51
0,8,30,4
0,9,0,44
0,9,30,4
0,10,30,44
0,11,30,39
0,12,0,1
0,12,30,47
0,13,0,1
0,13,30,48
0,14,0,1
0,14,30,47
0,15,0,1
0,15,30,48
0,16,0,1
0,16,30,49
0,17,0,1
0,17,30,49
0,18,0,1
0,18,30,49
0,19,0,1
0,19,30,50
0,21,0,1
0,21,30,50
0,22,30,47
0,23,0,1
0,23,30,3
1,5,30,51
1,6,30,48
1,7,30,49
1,8,30,2
1,9,0,47
1,9,30,2
1,10,30,48
1,11,30,40
1,12,30,49
1,13,30,49
1,14,30,50
1,15,30,51
1,16,30,48
1,17,30,51
1,18,30,51
1,19,30,49
1,21,30,51
1,22,30,48
1,23,30,2
2,5,30,51
2,6,0,1
2,6,30,50
2,7,30,50
2,9,0,46
2,10,30,48
2,11,30,38
2,12,30,48
2,13,30,50
2,14,30,49
2,15,30,50
2,16,30,50
2,17,30,49
2,18,30,49
2,19,30,49
2,21,30,47
2,22,30,47
2,23,30,35
3,5,30,48
3,6,0,1
3,6,30,46
3,7,0,1
3,7,30,45
3,8,30,1
3,9,0,45
3,9,30,1
3,10,30,43
3,11,30,37
3,12,30,47
3,13,30,47
3,14,30,48
3,15,30,50
3,16,30,49
3,17,30,50
3,18,30,49
3,19,30,49
3,21,30,50
3,22,30,48
3,23,30,1
4,5,30,49
4,6,30,49
4,7,30,51
4,8,30,2
4,9,0,49
4,9,30,2
4,10,30,50
4,11,30,43
4,12,30,50
4,13,30,51
4,14,30,51
4,15,30,51
4,16,30,51
4,17,30,49
4,18,30,51
4,19,30,50
4,21,30,49
4,22,30,49
4,23,30,47
5,5,30,50
5,7,30,50
5,8,30,52
5,9,30,52
5,10,30,6
5,11,30,42
5,12,0,7
5,12,30,43
5,13,0,8
5,13,30,43
5,14,0,7
5,14,30,14
5,15,0,7
5,15,30,44
5,16,0,8
5,16,30,43
5,17,0,8
5,17,30,44
5,18,0,8
5,18,30,44
5,19,0,8
5,19,30,44
5,21,0,8
5,21,30,44
5,22,0,6
5,23,0,1
5,23,30,42
5,23,59,6
6,5,30,49
6,7,30,50
6,8,30,51
6,9,30,51
6,10,30,6
6,11,30,43
6,12,0,8
6,12,30,44
6,13,0,8
6,13,30,43
6,14,0,8
6,14,30,13
6,15,0,8
6,15,30,44
6,16,0,7
6,16,30,44
6,17,0,8
6,17,30,44
6,18,0,8
6,18,30,42
6,19,0,8
6,19,30,43
6,21,0,7
6,21,30,43
6,23,0,8
6,23,30,41
